;;;
2;Москва сотовая;9154, 9165;3,135
2;Россия сотовая;5, 501, 505, 901, 902, 903, 904, 905, 910, 911, 912, 913, 914, 917, 918, 920, 921, 922, 927, 928, 960;3,135
2;Россия сотовые;908, 923, 924, 950;3,135
2;Саратов сотовая;96035;3,135
2;Татарстан сотовые;9033878, 9044762, 9047123, 904760, 904761, 904763, 904764, 904765, 904766, 904767, 904769, 905020, 9050201, 905022, 905023, 905024, 905025, 905026, 905310, 905311, 905312, 905313, 905314, 905315, 905316, 905317, 905318, 905319, 905370, 905371, 905372, 905373, 905374, 905375, 905376, 905377, 92724, 9272904, 9274, 92767;3,135
2;Чебоксары сотовая;96030;3,135
2;Москва сотовая;925101, 925105, 925106, 925130, 925136, 925139, 925220, 925226, 925247, 925258, 925363, 9255, 9258, 926231, 926233, 958, 960, 961, 962, 967, 969, 970, 974, 985, 991, 997, 998, 999;3,135
0;4, Россия зона 1 М,О, до 100 км,;;
4;Воскресенск;244;1,425
4;Голицыно;233;1,425
4;Дмитров;222;1,425
4;Домодедово;279;1,425
4;Жуковский;248;1,425
4;Звенигород;232;1,425
4;Инфолайн;230;1,425
4;Искра;97;1,425
4;Истра;231;1,425
4;Климовск;276;1,425
4;Клин;224;1,425
4;Московская Область;498;1,425
4;Московская область;096, 496;1,425
4;Наро-Фоминск;234;1,425
4;Ногинск;251;1,425
4;Орехово-Зуево;241, 242;1,425
4;Павловский Пасад;243;1,425
4;Подольск;275;1,425
4;Пушкино;09653, 253, 49653;1,425
4;Раменское;246;1,425
4;Руза;227;1,425
4;Сергиев-Пасад;254;1,425
4;Серпухов;273, 277;1,425
4;Солнечногорск;226;1,425
4;Троицк;2751;1,425
4;Черноголовка;252;1,425
4;Чехов;272;1,425
4;Чкаловск;478;1,425
4;Щелково;256;1,425
4;Электросталь;257;1,425
0;5, Россия зона 1 М,О, свыше 100 км,;;
5;Волоколамск;236;1,71
5;Дубна;09621, 221, 49621;1,71
5;Егорьевск;240;1,71
5;Зарайск;266;1,71
5;Искра 500;249;1,71
5;Кашира;269;1,71
5;Коломна;09661, 261, 49661;1,71
5;Лотошино;228;1,71
5;Луховицы;263;1,71
5;Можайск;238;1,71
5;Озера;270;1,71
5;Серебряные пруды;267;1,71
5;Ступино;264;1,71
5;Талдом;09620, 220, 49620;1,71
5;Шатура;245;1,71
5;Шаховская;237;1,71
0;6, Россия зона 2;;
6;Арзамас;83147;2,28
6;Белгородская область;072, 472;2,28
6;Брянская область;083, 483;2,28
6;Владимирская область;092, 492;2,28
6;Вологодская область;817;2,28
6;Воронежская область;073, 473;2,28
6;Иваново;0932, 4932;2,28
6;Ивановская область;093, 493;2,28
6;Калуга;08422, 48422;2,28
6;Калужская область;084, 484;2,28
6;Кинешма;09331, 49331;2,28
6;Костромская область;094, 494;2,28
6;Курская область;071, 471;2,28
6;Липецкая область;074, 474;2,28
6;Мордовия;834;2,28
6;Муром;09234, 49234;2,28
6;Нижегородская область;831;2,28
6;Новгородская область;816;2,28
